"Year","Montgomery.AL","Mobile.AL","Phoenix.AZ","Flagstaff.AZ","Fort.Smith.AR","Sacramento.CA","Los.Angeles.CA","Fresno.CA","Eureka.CA","Grand.Junction.CO","Denver.CO","Colorado.Springs.CO","Tampa.FL","Pensacola.FL","Jacksonville.FL","Washington.DC.DC","Savannah.GA","Augusta.GA","Atlanta.GA","Boise.ID","Springfield..IL","Moline.IL","Chicago.IL","Indianapolis.IN","Evansville.IN","Cedar.Rapids.IA","Dubuque.IA","Des.Moines.IA","Topeka.KS","Dodge.City.KS","Concordia.KS","Louisville.KY","Shreveport.LA","Portland.ME","Baltimore.MD","Boston.MA","Sault.Ste.Marie.MI","Marquette.MI","Lansing.MI","Grand.Rapids.MI","Detroit.MI","Minneapolis.MN","Duluth.MN","Meridian.MS","Springfield.MO","Kansas.City.MO","Helena.MT","Havre.MT","Valentine.NE","Omaha.NE","North.Platte.NE","Winnemucca.NV","Concord.NH","Roswell.NM","Albuquerque.NM","Rochester.NY","New.York.NY","Albany.NY","Raleigh.NC","Charlotte.NC","Williston.ND","Fargo.ND","Bismarck.ND","Columbus.OH","Oklahoma.OK","Pittsburgh.PA","Philadelphia.PA","Middletown.Harrisburg.PA","Erie.PA","Columbia.SC","Sioux.Falls.SD","Huron.SD","Nashville.TN","Memphis.TN","Chattanooga.TN","San.Antonio.TX","Houston.TX","Dallas.Fort.Worth.TX","Corpus.Christi.TX","Amarillo.TX","Abilene.TX","Salt.Lake.City.UT","Norfolk.VA","Lynchburg.VA","Spokane.WA","Seattle.WA","Eau.Claire.WI","Milwaukee.WI","Madison.WI","La.Crosse.WI","Green.Bay.WI","Lander.WY","Cheyenne.WY"
1864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.967,NA,NA,NA,-1.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.288,NA,NA,NA,NA
1879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.034,NA,NA,NA,-1.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.192,NA,NA,NA,NA
1880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.146,NA,NA,1.048,NA,NA,NA,-1.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.201,0.219,NA,NA,NA,NA
1881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.662,NA,NA,NA,NA,-1.129,NA,NA,NA,NA,NA,NA,NA,0.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.218,NA,NA,1.336,NA,NA,-0.839,-1.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.14,0.368,NA,NA,NA,NA
1882,0.58,0.415,NA,NA,NA,NA,NA,NA,NA,NA,-0.398,NA,NA,NA,0.617,-1.126,NA,NA,NA,NA,NA,NA,-0.274,0.599,NA,NA,NA,NA,NA,NA,NA,0.454,NA,NA,-0.286,-1.679,NA,NA,NA,NA,NA,-0.573,NA,NA,NA,NA,NA,NA,NA,-0.937,NA,NA,1.329,NA,NA,-0.686,-1.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.831,0.732,0.314,NA,NA,-0.281
1883,0.848,0.711,NA,NA,NA,NA,NA,NA,NA,NA,-0.407,NA,NA,NA,0.792,-1.202,NA,NA,NA,NA,NA,-0.291,-0.254,0.493,NA,NA,NA,NA,NA,NA,NA,0.604,NA,NA,-0.24,-1.713,NA,NA,-0.848,NA,-0.644,-0.476,NA,NA,NA,NA,NA,NA,NA,-0.953,NA,NA,1.404,NA,NA,NA,-1.844,-0.086,NA,NA,NA,NA,NA,NA,NA,NA,-0.971,NA,0.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.186,NA,NA,NA,NA,-0.934,0.671,0.289,NA,NA,-0.38
1884,0.746,0.636,NA,NA,NA,NA,NA,NA,NA,NA,-0.53,NA,NA,NA,0.824,-1.217,0.613,0.922,NA,NA,NA,-0.422,-0.478,0.197,NA,NA,0.348,NA,NA,-1.169,NA,0.586,0.48,-1.239,-0.131,-1.684,NA,-0.219,-0.998,NA,-0.536,-0.344,0.736,NA,NA,NA,NA,NA,NA,-1.09,-0.617,NA,1.414,NA,NA,NA,-1.754,0.289,NA,NA,NA,NA,-1.622,NA,NA,1.128,-0.858,NA,0.335,NA,NA,NA,0.144,-0.399,NA,NA,NA,NA,NA,NA,NA,-0.36,-0.044,NA,NA,NA,NA,-1.141,0.387,0.131,NA,NA,-0.61
1885,0.528,0.402,NA,NA,NA,NA,NA,NA,NA,NA,-0.514,NA,NA,NA,0.754,-1.107,0.555,0.897,NA,NA,NA,-0.23,-0.289,0.145,NA,NA,0.492,NA,NA,-1.155,NA,0.692,0.35,-1.001,0.048,-1.58,NA,-0.242,-0.98,NA,-0.234,0.112,0.849,NA,NA,NA,NA,NA,NA,-0.905,-0.425,NA,1.499,NA,NA,NA,-1.635,0.642,NA,NA,NA,NA,-1.161,NA,NA,1.331,-0.67,NA,0.382,NA,NA,NA,0.112,-0.324,NA,NA,NA,NA,NA,NA,NA,-0.332,0.029,NA,NA,NA,NA,-1.02,0.348,0.314,NA,NA,-0.402
1886,0.449,0.216,NA,NA,NA,NA,NA,NA,NA,NA,-0.527,NA,NA,NA,0.7,-1.193,0.494,0.795,NA,NA,NA,-0.219,-0.271,0.054,NA,NA,0.47,NA,NA,-1.219,NA,0.625,0.358,-0.925,0.032,-1.531,NA,-0.274,-1.001,NA,-0.014,0.184,0.998,NA,NA,NA,NA,NA,NA,-0.836,-0.315,NA,1.397,NA,NA,NA,-1.697,0.799,NA,NA,NA,NA,-0.785,NA,NA,1.403,-0.556,NA,0.298,NA,NA,NA,-0.081,-0.437,NA,NA,NA,NA,NA,NA,NA,-0.282,-0.096,NA,NA,NA,NA,-0.968,0.331,0.515,NA,NA,NA
1887,0.45,0.155,NA,NA,NA,-0.918,-1.972,NA,NA,NA,-0.417,NA,NA,NA,0.633,-1.276,0.385,0.771,NA,NA,NA,-0.332,-0.628,-0.059,NA,NA,0.229,NA,NA,-1.224,NA,0.607,0.563,-1.019,-0.069,-1.683,NA,-0.847,-1.083,NA,-0.065,-0.243,0.521,NA,NA,NA,NA,NA,NA,-0.955,-0.289,NA,1.083,NA,NA,NA,-1.879,0.788,NA,NA,NA,NA,-1.139,NA,NA,NA,-0.525,NA,0.19,NA,NA,NA,-0.006,-0.279,NA,NA,NA,NA,NA,NA,NA,-0.216,-0.12,NA,NA,NA,NA,-1.02,0.073,0.198,NA,NA,NA
1888,0.406,0,NA,NA,NA,-0.86,-1.852,NA,NA,NA,-0.399,NA,NA,NA,0.635,-1.538,0.24,0.636,-0.342,NA,NA,-0.826,-1.163,-0.347,NA,NA,-0.34,-1.026,NA,-1.337,NA,0.412,0.44,-0.929,-0.377,-1.975,NA,-1.687,-1.422,NA,-0.384,-0.987,-0.134,NA,NA,NA,NA,NA,NA,-1.322,-0.584,NA,0.596,NA,NA,NA,-2.306,0.513,NA,-0.347,NA,NA,-1.795,-0.224,NA,NA,-0.736,NA,-0.283,NA,NA,NA,-0.141,-0.41,0.211,NA,NA,NA,NA,NA,NA,-0.165,-0.319,NA,NA,NA,NA,-1.527,-0.574,-0.563,NA,NA,NA
1889,0.315,-0.178,NA,NA,NA,-0.814,-1.738,NA,NA,NA,-0.54,NA,NA,0.088,0.475,-1.54,0.027,0.549,-0.409,NA,-0.358,-0.823,-1.291,-0.349,NA,NA,-0.336,-1.021,NA,-1.401,NA,0.338,0.351,-0.691,-0.336,-1.749,NA,NA,-1.344,NA,-0.291,-0.991,0.052,NA,-0.358,NA,NA,NA,NA,-1.305,-0.597,NA,0.68,NA,NA,NA,-2.242,0.874,NA,-0.335,NA,NA,-1.481,-0.302,NA,NA,-0.619,NA,-0.367,NA,NA,NA,-0.232,-0.395,0.118,NA,NA,NA,NA,NA,NA,-0.152,-0.352,NA,NA,NA,NA,-1.559,-0.721,NA,NA,NA,NA
1890,0.378,-0.186,NA,NA,NA,-0.676,-1.356,NA,NA,NA,-0.264,NA,NA,0.148,0.453,NA,-0.029,0.618,-0.368,NA,-0.513,-0.959,-1.522,-0.314,NA,NA,-0.427,-1.118,NA,-1.2,NA,0.413,0.491,-0.535,-0.323,-1.859,NA,NA,-1.32,NA,-0.235,-1.107,0.143,NA,-0.513,NA,-0.108,NA,NA,-1.333,-0.495,NA,0.338,NA,NA,NA,-2.235,0.668,NA,-0.179,NA,-2.838,-1.307,-0.338,NA,NA,-0.601,NA,-0.535,NA,NA,NA,-0.141,-0.254,0.263,NA,NA,NA,NA,NA,NA,0.129,-0.353,NA,NA,NA,NA,-1.647,-0.895,NA,NA,NA,NA
1891,0.24,-0.389,NA,NA,NA,-0.63,-1.295,NA,NA,NA,-0.623,NA,NA,0.032,0.309,NA,-0.194,0.395,-0.547,NA,-0.706,-1.046,-1.639,-0.402,NA,NA,-0.517,-1.23,NA,-1.335,NA,0.251,0.253,-0.447,-0.486,-1.78,NA,NA,-1.366,NA,-0.438,-1.21,0.062,NA,-0.706,NA,-0.128,-1.072,NA,-1.35,-0.673,NA,0.205,NA,NA,NA,-2.048,0.503,NA,-0.389,NA,-2.696,-1.278,-0.503,NA,NA,-0.548,NA,-0.628,NA,NA,NA,-0.332,-0.399,NA,NA,NA,NA,NA,NA,NA,-0.025,-0.413,NA,0.01,NA,NA,-1.652,-1.048,NA,NA,NA,NA
1892,0.035,-0.715,NA,NA,-0.694,-0.563,-1.267,NA,NA,NA,-0.778,NA,NA,-0.157,0.073,NA,-0.433,0.142,-0.817,NA,-1.041,-1.365,-1.988,-0.545,NA,NA,-0.687,-1.479,NA,-1.583,NA,-0.023,-0.068,-0.43,-0.659,-1.735,NA,NA,-1.487,NA,-0.778,-1.413,-0.156,NA,-1.041,NA,-0.014,-1.24,NA,-1.554,-0.931,NA,0.057,NA,NA,NA,-2.004,0.255,NA,-0.559,NA,-2.677,-1.487,-0.724,NA,NA,-0.684,NA,-0.817,NA,NA,NA,-0.63,-0.619,NA,NA,NA,NA,NA,NA,NA,0.13,-0.567,NA,0.154,NA,NA,-1.961,-1.432,NA,NA,NA,NA
1893,-0.136,-0.986,NA,NA,-0.906,-0.686,-1.394,NA,NA,NA,-0.57,NA,NA,-0.327,-0.078,NA,-0.61,-0.088,-0.944,-0.497,-1.08,-1.292,-2.044,-0.493,NA,NA,-0.665,-1.432,NA,-1.295,NA,-0.127,-0.171,-0.714,NA,NA,NA,NA,-1.243,NA,-0.839,-1.292,-0.174,NA,-1.08,NA,-0.055,-1.24,NA,-1.479,-0.828,NA,-0.276,NA,NA,-1.148,-1.946,0.097,NA,-0.685,NA,-2.573,-1.488,-0.785,NA,NA,-0.789,NA,-0.858,NA,NA,NA,-0.734,-0.652,NA,NA,NA,NA,NA,NA,NA,0.079,-0.684,NA,0.068,NA,NA,-1.939,-1.388,NA,NA,NA,NA
1894,-0.09,-1.015,NA,NA,-0.959,-0.646,-1.562,NA,NA,NA,-0.441,NA,NA,-0.367,-0.086,NA,-0.602,-0.225,-0.891,-0.5,-1,-0.983,-1.892,-0.295,NA,NA,-0.328,-1.094,NA,-0.95,NA,-0.068,-0.226,-0.768,NA,NA,NA,NA,-1.052,NA,-0.806,-0.974,0.254,NA,-1,NA,0.233,-0.851,NA,-1.123,-0.586,-0.053,-0.329,NA,NA,-0.844,-1.861,0.092,NA,-0.663,NA,-2.104,-1.052,-0.688,NA,NA,-0.695,NA,-0.683,NA,NA,NA,-0.681,-0.584,NA,NA,NA,NA,NA,NA,NA,0.073,-0.695,NA,0.297,NA,NA,-1.598,-0.95,NA,NA,NA,NA
1895,0.003,-0.961,NA,NA,-1.041,-0.892,-1.819,NA,NA,NA,-0.561,NA,NA,-0.391,NA,NA,-0.63,-0.294,-0.807,-0.825,-0.993,-0.845,-1.885,-0.058,NA,NA,0.015,-0.949,NA,-0.9,-1.048,-0.081,-0.341,-1.117,NA,NA,NA,NA,-0.816,NA,-0.792,-0.825,0.494,NA,-0.993,NA,-0.077,-1.376,NA,-0.928,-0.58,-0.435,-0.209,NA,NA,-0.615,-1.616,0.292,NA,-0.659,NA,-2.047,-1.087,-0.439,NA,NA,-0.522,NA,-0.598,NA,NA,NA,-0.622,-0.569,NA,-0.362,NA,NA,NA,NA,-0.807,-0.165,-0.679,NA,0.091,NA,NA,-1.304,-0.608,NA,NA,NA,NA
1896,0.212,-0.729,NA,NA,-0.65,-0.827,-1.758,NA,-0.663,NA,-0.367,NA,NA,-0.277,NA,NA,-0.466,-0.05,-0.538,-0.849,-0.959,-0.675,-1.858,0.216,NA,NA,0.237,-0.961,NA,-0.608,-0.736,0.175,-0.188,-1.232,NA,NA,NA,NA,-0.755,NA,-0.858,-0.612,0.549,NA,-0.959,NA,-0.148,-1.685,NA,-0.77,-0.522,-0.431,-0.298,NA,NA,-0.496,-1.388,0.323,-0.376,-0.379,NA,-2.049,-1.313,-0.179,NA,NA,-0.448,NA,-0.494,NA,NA,NA,-0.265,-0.231,NA,-0.107,NA,NA,NA,NA,-0.673,-0.204,-0.485,NA,0.031,NA,NA,-1.045,-0.446,NA,NA,NA,NA
1897,0.263,-0.648,NA,NA,-0.543,-0.893,-1.821,-0.233,-0.53,NA,-0.486,NA,NA,-0.227,NA,NA,-0.288,0,-0.46,-0.892,-0.953,-0.607,-1.701,0.279,NA,NA,0.291,-0.851,-0.658,-0.546,-0.553,0.192,-0.224,-1.167,NA,NA,NA,NA,-0.692,NA,-0.837,-0.398,0.704,NA,-0.953,NA,-0.022,-1.603,NA,-0.665,-0.419,-0.431,-0.326,NA,NA,-0.342,-1.123,0.446,-0.203,-0.336,NA,-1.836,-1.229,-0.139,NA,NA,-0.447,NA,-0.555,-0.05,NA,NA,-0.189,-0.202,NA,-0.026,NA,NA,-1.217,NA,-0.708,-0.402,-0.366,NA,0.166,NA,NA,-0.856,-0.324,NA,NA,NA,-0.128
1898,0.233,-0.678,NA,NA,-0.423,-1.091,-1.879,-0.361,-0.755,NA,-0.632,NA,NA,-0.249,NA,NA,-0.197,-0.001,-0.421,-1.133,-0.671,-0.309,-1.432,0.493,NA,NA,0.558,-0.6,-0.414,-0.595,-0.402,0.394,-0.2,-1.293,NA,NA,-0.304,NA,-0.354,NA,-0.47,0.043,1.016,NA,-0.671,NA,-0.064,-1.528,NA,-0.448,-0.353,-0.652,-0.123,NA,NA,0.164,-0.554,0.879,-0.017,-0.332,NA,-1.476,-0.95,0.129,NA,NA,-0.162,-0.646,-0.193,0.019,NA,NA,-0.025,-0.052,NA,0.093,NA,NA,-1.149,NA,-0.619,-0.73,-0.193,NA,0.096,NA,NA,-0.461,-0.034,NA,NA,NA,-0.314
1899,0.239,-0.662,NA,NA,-0.469,-1.224,-1.994,-0.543,-0.941,NA,-0.755,NA,NA,-0.173,NA,NA,-0.066,-0.028,-0.364,-1.247,-0.631,-0.277,-1.411,0.471,NA,NA,0.487,-0.67,-0.307,-0.607,-0.36,0.427,-0.211,-1.583,NA,NA,-0.445,NA,-0.354,NA,-0.485,-0.029,0.813,-0.388,-0.631,NA,-0.431,-2.024,NA,-0.556,-0.449,-0.911,-0.392,NA,NA,0.278,-0.439,0.751,-0.005,-0.411,NA,-1.599,-1.369,0.22,NA,NA,-0.196,-0.611,-0.155,0.003,NA,NA,-0.014,-0.116,NA,0.176,NA,NA,-1.144,NA,-0.564,-0.919,-0.158,NA,-0.098,NA,NA,-0.383,-0.116,NA,NA,NA,-0.557
1900,0.075,-0.771,NA,NA,-0.397,-1.18,-2.011,-0.525,-0.682,NA,-0.659,NA,-0.672,-0.242,NA,NA,-0.106,-0.212,-0.44,-0.947,-0.5,-0.191,-1.364,0.476,NA,NA,0.588,-0.539,-0.137,-0.473,-0.144,0.423,-0.271,-1.47,NA,NA,-0.167,NA,-0.379,NA,-0.435,0.248,0.982,-0.529,-0.5,NA,-0.217,-1.657,NA,-0.35,-0.227,-0.734,-0.356,NA,NA,0.434,-0.313,0.946,-0.027,-0.529,NA,-1.282,-1.148,0.294,-0.951,1.569,-0.084,-0.428,-0.076,-0.036,NA,NA,-0.058,-0.137,NA,0.155,NA,NA,-1.158,NA,-0.574,-0.67,-0.191,NA,0.145,NA,NA,-0.208,-0.03,NA,NA,NA,-0.529
1901,-0.106,-0.871,NA,NA,-0.157,-1.231,-2.1,-0.482,-0.726,NA,-0.291,NA,-0.83,-0.301,NA,NA,-0.201,-0.36,-0.552,-0.651,-0.467,-0.108,-1.41,0.331,NA,NA,0.636,-0.356,0.112,-0.171,0.034,0.302,-0.202,-1.591,NA,NA,-0.122,NA,-0.558,NA,-0.538,0.259,0.998,-0.647,-0.467,NA,-0.012,-1.398,NA,-0.108,0.057,-0.688,-0.544,NA,NA,0.281,-0.476,0.861,-0.062,-0.62,NA,-1.056,-0.921,0.227,-0.734,1.46,-0.204,-0.504,-0.178,-0.116,NA,NA,-0.192,-0.139,0.025,0.316,NA,NA,-1.035,-1.494,-0.367,-0.401,-0.293,NA,0.134,NA,NA,-0.186,0.012,NA,NA,-1.284,-0.372
1902,-0.006,-0.724,NA,NA,0.001,-1.328,-2.142,-0.567,-0.617,0.093,-0.082,NA,-0.772,-0.19,NA,-1.321,-0.05,-0.246,-0.392,-0.471,-0.329,0.07,-1.198,0.38,NA,NA,0.803,-0.191,0.162,0.055,0.128,0.388,-0.06,-1.623,NA,NA,0.068,0.173,-0.493,NA,-0.404,0.33,1.153,-0.491,-0.329,NA,-0.138,-1.316,NA,0.031,0.311,-0.69,-0.572,NA,-0.442,0.35,-0.391,0.864,0.094,-0.486,NA,-0.844,-0.8,0.327,-0.584,1.581,-0.119,-0.418,-0.09,-0.129,NA,NA,-0.052,-0.026,0.106,0.375,NA,NA,-0.885,-1.408,-0.219,-0.312,-0.191,NA,0.094,NA,NA,0.097,0.243,NA,NA,-1.121,-0.312
